<<<<<<< Updated upstream
Table Name,Rows,Columns,ML: Loading,ML: Compute Time,ML: Loading,ML: Validation Time,ML: Total,Naive: Loading,Naive: Compute Time,Naive: Total
100-10.parquet,100,10,0.015542563050985336,0.4606843665242195,0.008255921304225922,0.0006297938525676727,0.48511674255132675,0.002321965992450714,0.0008451379835605621,0.0031680166721343994
1000-10.parquet,1000,10,0.0016134530305862427,0.4506852440536022,0.0026223473250865936,0.0006158947944641113,0.4555407464504242,0.0023981258273124695,0.0008872374892234802,0.0032863393425941467
10000-10.parquet,10000,10,0.0021639615297317505,0.4664754644036293,0.003366190940141678,0.0011975765228271484,0.47320712357759476,0.0027591586112976074,0.0021057315170764923,0.004865884780883789
100000-10.parquet,100000,10,0.008348938077688217,1.3558036498725414,0.006942790001630783,0.00519140437245369,1.3762910179793835,0.006828326731920242,0.011186905205249786,0.018016524612903595
1000000-10.parquet,1000000,10,0.03254824876785278,0.45333782210946083,0.03168424963951111,0.09376681968569756,0.6113420091569424,0.05282412841916084,0.20093131437897682,0.25375787168741226
10000000-10.parquet,10000000,10,0.25249984487891197,0.4560227580368519,0.3044213615357876,4.273885678499937,5.286834951490164,0.49655548483133316,10.275392457842827,10.771950203925371
100000000-10.parquet,100000000,10,1.65352813154459,0.48040342703461647,2.6789018251001835,50.75925927609205,55.57210063561797,4.558285336941481,124.03463207185268,128.59291980788112
5000000-10.parquet,5000000,10,0.12557066977024078,0.4628612995147705,0.13058005645871162,1.8266753517091274,2.5456924811005592,0.2175716683268547,4.52554876729846,4.743122648447752
50000000-10.parquet,50000000,10,1.2411474324762821,0.9108009673655033,0.009943701326847076,0.00024414435029029846,2.162141054868698,2.5188656114041805,55.88880855590105,58.40767649933696
=======
Table Name,Rows,Columns,ML: Loading,ML: Compute Time,ML: Loading,ML: Validation Time,ML: Total,Naive: Loading,Naive: Compute Time,Naive: Total,True Pos,True Neg,False Pos,False Neg
100-10.parquet,100,10,0.015871133655309677,0.46661850810050964,0.008460626006126404,0.00024402514100074768,0.4911980964243412,0.003067098557949066,0.0003616698086261749,0.003429904580116272,4,6,0,0
1000-10.parquet,1000,10,0.0013825707137584686,0.4492347650229931,0.0028102435171604156,0.0009465143084526062,0.45437774434685707,0.0027675069868564606,0.0018400102853775024,0.004608500748872757,4,6,0,0
10000-10.parquet,10000,10,0.0024800896644592285,1.4990618638694286,0.003284227102994919,0.008455906063318253,1.5132861658930779,0.0038586780428886414,0.02031511813402176,0.024174775928258896,4,6,0,0
100000-10.parquet,100000,10,0.010056223720312119,0.45262635871768,0.007468216121196747,0.10141398757696152,0.5715711079537868,0.00912763923406601,0.24635815992951393,0.25548793375492096,4,6,0,0
1000000-10.parquet,1000000,10,0.032328050583601,0.45549846813082695,0.04190320149064064,1.7667075581848621,2.2964462600648403,0.06434740871191025,4.405077129602432,4.4694285318255424,4,6,0,0
10000000-10.parquet,10000000,10,0.2267163246870041,0.4694787971675396,0.2836647666990757,24.99592111632228,25.97578963264823,0.5287193320691586,62.40854687616229,62.937269765883684,4,6,0,0
100000000-10.parquet,100000000,10,1.5586369037628174,0.4428114853799343,2.5753058679401875,342.7910526394844,347.3678162544966,4.590881105512381,849.6953532882035,854.2862380333245,4,6,0,0
5000000-10.parquet,5000000,10,0.11790299415588379,0.461630430072546,0.13070552051067352,11.522266186773777,12.232512336224318,0.21491879224777222,28.672317419201136,28.88724062219262,4,6,0,0
50000000-10.parquet,50000000,10,1.1500278487801552,0.45199326425790787,1.3809994459152222,151.42059502750635,154.4036244377494,2.1893026679754257,375.62820479646325,377.81751146912575,4,6,0,0
>>>>>>> Stashed changes
