<<<<<<< Updated upstream
Table Name,Rows,Columns,ML: Loading,ML: Compute Time,ML: Loading,ML: Validation Time,ML: Total,Naive: Loading,Naive: Compute Time,Naive: Total
100-10.parquet,100,10,0.00357920303940773,0.6176774129271507,0.0002870708703994751,0.0004429556429386139,0.6219903863966465,0.004667643457651138,0.000970304012298584,0.005639694631099701
1000-10.parquet,1000,10,0.002814698964357376,0.4534289836883545,0.0002835020422935486,0.0004846230149269104,0.4570160135626793,0.003068815916776657,0.0009233355522155762,0.003993131220340729
10000-10.parquet,10000,10,0.003964968025684357,0.4451650641858578,0.0003189891576766968,0.0007650665938854218,0.4502181261777878,0.00394584983587265,0.0018709003925323486,0.0058176517486572266
100000-10.parquet,100000,10,0.010630965232849121,0.45649130642414093,0.00048775598406791687,0.0028730295598506927,0.4704868830740452,0.008357372134923935,0.010754011571407318,0.01911241188645363
1000000-10.parquet,1000000,10,0.05075676366686821,0.4557430073618889,0.002368774265050888,0.04607806354761124,0.5549561493098736,0.040408410131931305,0.21561111137270927,0.2560216449201107
10000000-10.parquet,10000000,10,0.5160795859992504,0.552089549601078,0.029116224497556686,2.0755204260349274,3.172814391553402,0.5405810996890068,10.345939207822084,10.886522959917784
100000000-10.parquet,100000000,10,4.617734745144844,1.3101041987538338,0.00018530339002609253,0.00020665675401687622,5.92823526263237,4.408915966749191,123.52143958956003,127.93035816028714
5000000-10.parquet,5000000,10,0.1897229626774788,0.4607737585902214,0.00018514692783355713,0.00021795928478240967,0.6509048007428646,0.18461855128407478,4.441048178821802,4.62566826492548
50000000-10.parquet,50000000,10,3.0542822293937206,0.9066827297210693,0.1377294436097145,12.433023378252983,16.531726446002722,2.2586447708308697,55.89403983578086,58.15268662571907
=======
Table Name,Rows,Columns,ML: Loading,ML: Compute Time,ML: Loading,ML: Validation Time,ML: Total,Naive: Loading,Naive: Compute Time,Naive: Total,True Pos,True Neg,False Pos,False Neg
100-10.parquet,100,10,0.0038400664925575256,12.991053003817797,0.00029135122895240784,0.00011363998055458069,12.995301652699709,0.0050573572516441345,0.0004804283380508423,0.0055394768714904785,2,8,0,0
1000-10.parquet,1000,10,0.0038111843168735504,8.711162615567446,0.00030969828367233276,0.0004593171179294586,8.715747736394405,0.0036810636520385742,0.0018643327057361603,0.00554637610912323,2,8,0,0
10000-10.parquet,10000,10,0.0037419721484184265,2.3323762081563473,0.00034132227301597595,0.004924710839986801,2.3413881435990334,0.004050754010677338,0.02034352719783783,0.024395402520895004,2,8,0,0
100000-10.parquet,100000,10,0.008707400411367416,0.9104862958192825,0.0005122199654579163,0.0535925030708313,0.9733025059103966,0.008618403226137161,0.24715715646743774,0.255777794867754,2,8,0,0
1000000-10.parquet,1000000,10,0.04081794619560242,8.030088696628809,0.002091221511363983,0.8878401331603527,8.960848838090897,0.05336183309555054,4.405336357653141,4.45870191976428,2,8,0,0
10000000-10.parquet,10000000,10,0.4449184909462929,25.672321382910013,0.02817068248987198,12.539970226585865,38.68539069592953,0.5016309805214405,62.529321528971195,63.03095605969429,2,8,0,0
100000000-10.parquet,100000000,10,4.431242018938065,17.3977288082242,0.29783933237195015,172.42366602644324,194.55048687011003,4.524702247232199,851.122723672539,855.6474304236472,2,8,0,0
5000000-10.parquet,5000000,10,0.18678952381014824,79.07134418189526,0.014743823558092117,5.785167191177607,85.05805534496903,0.18327168747782707,28.624625865370035,28.807900708168745,2,8,0,0
50000000-10.parquet,50000000,10,2.2204258926212788,53.48024247214198,0.13733059912919998,75.58718867227435,131.425197083503,2.193570014089346,376.4558099247515,378.6493829227984,2,8,0,0
>>>>>>> Stashed changes
