Model Input Size,Avg. rows,Columns,Accuracy,Precision,Recall,F1
5,184.033,57211,0.7093915505759382,0.2359375,1.0,0.381795195954488
10,184.033,57211,0.8231284193599133,0.3365895233724513,1.0,0.5036542894982097
20,184.033,57211,0.9204873188722449,0.530207580295363,1.0,0.6929877843018154
50,184.033,57211,0.9800038454143434,0.8177763618986938,1.0,0.8997546442341394
